"Ellos ayudan a su amigo","Sie helfen ihrem Freund"
"Mi coche es grande","Mein Wagen ist gross"
"Mi (mía)","Meine"
"Mi (mío)","Mein"
"Mis","Meine"
"Nosotros ayudamos a nuestros amigos","Wir helfen unseren Freunden"
"Nuestra","Unsere"
"Nuestro","Unser"
"Nuestros","Unsere"
"Sus (de él)","Seine"
"Sus (de ella)","Ihre"
"Sus (de ellos)","Ihre"
"Su (suya, de él)","Seine"
"Su (suya, de ella)","Ihre"
"Su (suya, de ellos)","Ihre"
"Su (suyo, de él)","Sein"
"Su (suyo, de ella)","Ihr"
"Su (suyo, de ellos)","Ihr"
"Tu coche es pequeño","Dein Wagen ist klein"
"Tú encuentras a vuestro amigo","Du triffst euren Freund"
"Tus","Deine"
"Tu (tuya)","Deine"
"Tu (tuyo)","Dein"
"Vuestra","Eure"
"Vuestra niña es alta","Euer Mädchen ist gross"
"Vuestro","Euer"
"Vuestros","Eure"
"Yo encuentro a nuestro amigo","Ich treffe unseren Freund"
